timestamp,open,high,low,close,volume
2026-08-05 06:00:00,4079.93,4084.83,4078.79,4080.27,5941
2026-08-05 06:30:00,4080.28,4082.58,4076.35,4078.63,6284
2026-08-05 07:00:00,4078.65,4080.34,4074.64,4075.49,5396
2026-08-05 07:30:00,4075.4,4078.64,4075.2,4077.37,3969
2026-08-05 09:00:00,4077.6,4080.47,4075.74,4079.72,3100
2026-08-05 09:30:00,4079.72,4085.84,4075.81,4075.82,4886
2026-08-05 10:00:00,4075.83,4077.22,4065.35,4067.13,6217
2026-08-05 10:30:00,4067.13,4073.64,4065.87,4072.47,4916
2026-08-05 11:00:00,4072.47,4078.97,4070.38,4078.67,8348
2026-08-05 11:30:00,4078.67,4083.51,4077.74,4082.51,7351
2026-08-05 12:00:00,4082.51,4088.67,4077.63,4084.7,11887
2026-08-05 12:30:00,4084.69,4102.72,4080.11,4101.52,10457
2026-08-05 13:00:00,4101.44,4108.61,4095.57,4103.57,9357
2026-08-05 13:30:00,4103.59,4135.4,4101.5,4129.33,15247
2026-08-05 14:00:00,4129.33,4136.51,4126.98,4130.41,9270
2026-08-05 14:30:00,4130.42,4130.92,4127.61,4128.39,5244
2026-08-05 15:00:00,4128.39,4141.46,4128.33,4138.7,6228
2026-08-05 15:30:00,4138.7,4138.9,4132.57,4135.62,4337
2026-08-05 16:00:00,4135.62,4142.16,4134.79,4139.62,5062
2026-08-05 16:30:00,4139.62,4173.0,4139.62,4161.6,14727
2026-08-05 17:00:00,4161.67,4174.38,4160.27,4168.88,9565
2026-08-05 17:30:00,4168.81,4178.47,4167.09,4177.57,9613
2026-08-05 18:00:00,4177.59,4179.6,4163.17,4164.39,10667
2026-08-05 18:30:00,4164.39,4172.02,4162.35,4170.83,7766
2026-08-05 19:00:00,4170.83,4172.66,4162.23,4164.55,8086
2026-08-05 19:30:00,4164.55,4167.21,4159.12,4160.57,8711
2026-08-05 20:00:00,4160.57,4167.18,4155.24,4157.71,7825
2026-08-05 20:30:00,4157.69,4159.2,4153.13,4157.96,6705
2026-08-05 21:00:00,4157.97,4158.59,4150.2,4156.64,5851
2026-08-05 21:30:00,4156.65,4161.57,4153.9,4161.5,5063
2026-08-05 22:00:00,4161.5,4180.8,4160.82,4176.13,7851
2026-08-05 22:30:00,4176.15,4192.62,4174.13,4188.93,10782
2026-08-05 23:00:00,4188.93,4213.46,4188.92,4205.25,12045
2026-08-05 23:30:00,4205.25,4209.01,4183.18,4183.93,12383
2026-08-06 00:00:00,4183.95,4198.09,4183.72,4197.09,13455
2026-08-06 00:30:00,4197.06,4206.88,4189.74,4206.23,18014
2026-08-06 01:00:00,4206.06,4240.43,4203.64,4236.99,20971
2026-08-06 01:30:00,4236.94,4247.69,4228.85,4244.23,18800
2026-08-06 02:00:00,4244.22,4265.15,4242.83,4257.4,16994
2026-08-06 02:30:00,4257.37,4259.73,4232.44,4232.87,14224
2026-08-06 03:00:00,4232.88,4241.75,4224.79,4241.48,14156
2026-08-06 03:30:00,4241.49,4247.42,4238.35,4242.43,10565
2026-08-06 04:00:00,4242.43,4246.58,4236.88,4244.7,10344
2026-08-06 04:30:00,4244.75,4252.56,4240.93,4250.32,9171
2026-08-06 05:00:00,4250.3,4267.96,4249.33,4262.97,9303
2026-08-06 05:30:00,4262.97,4263.67,4254.67,4260.97,8188
2026-08-06 06:00:00,4260.97,4262.21,4250.57,4252.93,8443
2026-08-06 06:30:00,4252.93,4254.12,4246.36,4247.1,9633
2026-08-06 07:00:00,4247.11,4249.7,4245.53,4246.22,3920
2026-08-06 07:30:00,4246.22,4249.5,4243.1,4246.93,2719
2026-08-06 09:00:00,4246.98,4254.19,4245.62,4248.08,3751
2026-08-06 09:30:00,4248.03,4250.32,4247.64,4250.01,3147
2026-08-06 10:00:00,4250.03,4264.21,4249.14,4263.5,3875
2026-08-06 10:30:00,4263.5,4282.02,4261.19,4278.1,8410
2026-08-06 11:00:00,4278.14,4284.79,4264.49,4274.17,11664
2026-08-06 11:30:00,4274.17,4300.37,4273.96,4294.88,10776
2026-08-06 12:00:00,4294.88,4302.74,4272.88,4276.2,16429
2026-08-06 12:30:00,4276.2,4297.39,4275.91,4286.73,14068
2026-08-06 13:00:00,4286.68,4304.08,4283.52,4292.25,10224
2026-08-06 13:30:00,4292.26,4292.47,4274.88,4278.63,11351
2026-08-06 14:00:00,4278.64,4281.0,4260.85,4266.26,10693
2026-08-06 14:30:00,4266.27,4266.72,4260.45,4265.65,6308
2026-08-06 15:00:00,4265.71,4267.24,4252.93,4255.22,6816
2026-08-06 15:30:00,4255.39,4263.01,4255.39,4262.25,5720
2026-08-06 16:00:00,4262.25,4265.35,4253.05,4253.97,8064
2026-08-06 16:30:00,4253.99,4268.58,4247.34,4267.21,10701
2026-08-06 17:00:00,4267.21,4268.56,4254.48,4257.63,8205
2026-08-06 17:30:00,4257.63,4258.23,4249.34,4256.04,7516
2026-08-06 18:00:00,4255.95,4265.43,4253.24,4262.0,7204
2026-08-06 18:30:00,4261.98,4262.91,4252.68,4262.73,6543
2026-08-06 19:00:00,4262.73,4270.53,4260.25,4267.92,7552
2026-08-06 19:30:00,4267.86,4278.86,4266.43,4278.21,8201
2026-08-06 20:00:00,4278.24,4284.78,4276.05,4283.45,8065
2026-08-06 20:30:00,4283.45,4284.32,4271.31,4273.06,6534
